Date,asi,his,nky,sti,sensex
15-05-2009,4075.65,2019.66,136.57,1540.1,224.85
16-05-2009,3955.57,1994.27,141.07,1539.52,223.01
17-05-2009,3961.92,2002.47,141.65,1546.77,222.4
18-05-2009,3935.97,2000.8,143.67,1541.34,220.43
19-05-2009,3892.94,2001.04,140.71,1541.21,225.57
22-05-2009,3833.35,2030.91,143.46,1539.66,228.05
23-05-2009,3749.45,2029.38,143.95,1543.65,226.95
24-05-2009,3758,2023.04,144.08,1554.46,228.75
25-05-2009,3754.74,1988.96,141.56,1560.26,229.84
26-05-2009,3742.09,2004.03,136.42,1581.93,228.08
29-05-2009,3802.15,1999.8,133.08,1580.14,228.7
30-05-2009,3845.52,1980.42,136.17,1593.66,228.29
31-05-2009,3867.99,1985.86,136.03,1596.03,224.46
01-06-2009,3741.66,1988.24,133.94,1587.58,227.18
02-06-2009,3756.51,1973.11,136.6,1594.23,228.96
05-06-2009,3790.38,1986.95,135.32,1601.71,229
06-06-2009,3825.3,1987.12,136.65,1611.96,230.49
07-06-2009,3705.83,1990.96,140.38,1629.89,229.54
08-06-2009,3701.99,1994.11,140.77,1652.03,231.08
09-06-2009,3622.77,2010.01,142.49,1636.63,233.62
13-06-2009,3693.62,2013.46,139.66,1635.74,238.12
14-06-2009,3553,2014.52,141.12,1658.19,239.47
15-06-2009,3555.88,2037.96,139.89,1639.5,238.97
16-06-2009,3567.63,2043.52,140.78,1649.33,242.21
19-06-2009,3640.46,2055.85,141.55,1634.44,241.81
20-06-2009,3588.63,2051.75,137.15,1563.39,236.24
21-06-2009,3565.61,2038.89,138.45,1557.56,237.69
22-06-2009,3603.71,2047.31,138.35,1583.71,241.94
23-06-2009,3641.12,2036.79,134.89,1554.43,242.7
26-06-2009,3606.67,2037.82,137.59,1538.6,242.82
27-06-2009,3604.5,2010.35,135.09,1492.63,244.85
28-06-2009,3636.2,1996.22,135.95,1508.48,244.31
29-06-2009,3577.83,1998.42,132.84,1499.65,246.42
30-06-2009,3628.19,1989.75,130.58,1487.07,245.42
03-07-2009,3736.74,2003.08,133.8,1513.83,243.61
04-07-2009,3752.58,2000.43,133.16,1513.6,243.36
05-07-2009,3766.68,2026.08,137.43,1522.89,245.22
06-07-2009,3742.71,2027.51,137.68,1482.78,248.03
07-07-2009,3786.23,2036.95,139.4,1475.43,248.29
10-07-2009,3830.02,2053.17,139.93,1500.82,250.17
11-07-2009,3814.93,2052.01,137.52,1492.77,252.95
12-07-2009,3812.17,2015.8,137.03,1477.61,252.79
13-07-2009,3832.27,2032.58,134.48,1456.11,259.28
14-07-2009,3811.24,2025.53,135.19,1412.15,260.28
17-07-2009,3723.67,2038.31,133.53,1439.73,262.71
18-07-2009,3695.2,2043.53,132.66,1438.48,259.34
19-07-2009,3655.46,2028.96,135.64,1409.35,260.12
20-07-2009,3655.61,2046.53,135.36,1407.76,251.29
21-07-2009,3732.01,2036.76,137.35,1422.73,248.86
24-07-2009,3711.58,2069.99,138.27,1464.92,255.67
25-07-2009,3698.6,2074.99,139.03,1456.36,261.63
